bill_id|title|subject|summary
hr1216-112|To amend the Public Health Service Act to convert funding for graduate medical education in qualified teaching health centers from direct appropriations to an authorization of appropriations.|Health|Amends the Public Health Service Act to convert funding from direct appropriations to an authorization of appropriations for a program of payments to qualified teaching health centers for approved graduate medical residency training programs. Rescinds any unobligated balances appropriated for such program.
hr4764-112|To suspend temporarily the duty on Potassium decafluoro(pentafluorethyl) cyclohexanesulfonate.|Foreign trade and international finance|Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on Potassium decafluoro(pentafluorethyl) cyclohexanesulfonate.
hr337-112|To amend Public Law 111-321 (Don't Ask, Don't Tell Repeal Act of 2010) to impose an additional condition on the repeal of the policy codified as section 654 of title 10, United States Code.|Armed forces and national security|Restore Military Readiness Act of 2011 - Amends the Don't Ask, Don't Tell Repeal Act of 2010 to require, as an additional condition on the repeal of the current Department of Defense (DOD) policy concerning homosexuality in the Armed Forces, that the chief of each military department certify to the congressional defense committees that such repeal will not degrade the readiness, effectiveness, cohesion, and morale of combat arms units and personnel under their respective commands that are engaged in combat, deployed to a combat theater, or preparing for deployment to a combat theater.
hr6033-112|To provide for research and education to improve screening, detection and diagnosis of prostate cancer.|Health|Prostate Cancer Detection Research and Education Act - Requires the Secretary of Health and Human Services (HHS), acting through the Director of the National Institutes of Health (NIH), to establish an advisory council on prostate cancer to draft a plan for the development and validation of an accurate test or tests to detect and diagnose prostate cancer. Terminates the advisory council on December 31, 2016. Requires the Director of the National Institutes of Health (NIH) to coordinate and intensify research in accordance with the plan developed under this Act, with particular attention provided to leveraging existing research to develop and validate a test or tests, such as biomarkers or imaging, to detect and accurately diagnose prostate cancer. Requires the Secretary to: (1) carry out a national campaign to increase the awareness and knowledge of prostate cancer, and (2) award grants to nonprofit private entities to test alternative outreach and education strategies to increase the awareness and knowledge of Americans with respect to prostate cancer.
hr2493-112|To amend the African Growth and Opportunity Act to extend the third country fabric program, and for other purposes.|Foreign trade and international finance|"Amends the African Growth and Opportunity Act to extend, through FY2015, the third-country fabric rule granting duty-free treatment of apparel articles wholly assembled, or knit-to-shape and wholly assembled, or both, in one or more lesser developed beneficiary sub-Saharan African countries, regardless of the country of origin of the fabric or the yarn used to make such articles. Revises the term ""sub-Saharan African country"" to include the Republic of South Sudan under such Act."
hr3541-112|To prohibit discrimination against the unborn on the basis of sex or race, and for other purposes.|Crime and law enforcement|"Prenatal Nondiscrimination Act (PRENDA) of 2012 - (Sec. 3) Imposes criminal penalties on anyone who knowingly or knowingly attempts to: (1) perform an abortion knowing that the abortion is sought based on the sex, gender, color or race of the child, or the race of a parent; (2) use force or the threat of force to intentionally injure or intimidate any person for the purpose of coercing a sex-selection or race-selection abortion; (3) solicit or accept funds for the performance of such an abortion; or (4) transport a woman into the United States or across a state line for the purpose of obtaining such an abortion. Requires such violations or attempted violations to result in fines under the federal criminal code, imprisonment for up to five years, or both. Authorizes civil actions, for verifiable money damages for injuries and punitive damages, by: (1) fathers, or maternal grandparents if the mother is an unemancipated minor, of unborn children who are the subject of an abortion performed or attempted through any of the above violations; and (2) women upon whom an abortion has been performed with a knowing or attempted use of force or threat of force to intentionally injure or intimidate any person for the purpose of coercing a sex-selection or race-selection abortion. Authorizes, to prevent an abortion provider from performing or attempting further abortions in violation of this Act, injunctive relief to be obtained by the women upon whom such an abortion is performed or attempted, spouses or parents of a woman upon whom such an abortion is performed, or the Attorney General (DOJ). Deems a violation of this Act to be prohibited discrimination under title VI (Federally Assisted Programs) of the Civil Rights Act of 1964. (Violators of title VI lose federal funding.) Requires a medical or mental health professional to report known or suspected violations to law enforcement authorities. Imposes criminal penalties for a failure to so report. Directs federal courts to expedite the disposition of any matter brought under this Act. Prohibits a woman having such an abortion from being prosecuted or held civilly liable. Directs courts to: (1) make such orders as necessary to protect the anonymity of any woman upon whom an abortion has been performed or attempted if she does not give her written consent to such disclosure; and (2) include with any such order specific written findings explaining why the anonymity of the woman must be preserved from public disclosure, how the order is essential and narrowly tailored to serve that interest, and why no reasonable less restrictive alternative exists. Requires, in the absence of such a woman's written consent, that any party, other than a public official, who brings an action under this Act do so under a pseudonym. Defines ""abortion"" as the act of using or prescribing any instrument, medicine, drug, or any other substance, device, or means with the intent to terminate the clinically diagnosable pregnancy of a woman, with knowledge that the termination by those means will, with reasonable likelihood, cause the death of the unborn child, unless the act is intended to: (1) save the life or preserve the health of the unborn child, (2) remove a dead unborn child caused by spontaneous abortion, or (3) remove an ectopic pregnancy. (Sec. 4) Declares that, if any portion or application of this Act is held invalid, such invalidity shall not affect the portions or applications of this Act which can be given effect without the invalid portion or application."
hr6201-112|To authorize the Secretary of the Interior to conduct a study of alternatives for commemorating Long Island's aviation history, including a determination of the suitability and feasibility of designating parts of the study area as a unit of the National Park System, and for other purposes.|Public lands and natural resources|Long Island Aviation History Act - Directs the Secretary of the Interior to conduct a special resource study of Long Island, with a particular focus on the Hempstead Plains, the areas surrounding Suffolk County Air Force Base, the hamlet of Bethpage, the hamlet of Port Washington, and the village of Farmingdale.
hr3773-112|To amend the Renewable Fuel Program in section 211(o) of the Clean Air Act to allow domestic alternative fuel to be used to satisfy a portion of the required applicable volume of renewable fuel.|Environmental protection|"Domestic Alternative Fuels Act of 2012 - Amends the Clean Air Act to revise the Renewable Fuel Program to: (1) provide that the applicable volume of renewable fuel required in transportation fuel sold or introduced into commerce in the United States for 2012 through 2022 shall apply in the aggregate to renewable fuel and domestic alternative fuel; and (2) define ""domestic alternative fuel"" as ethanol that is produced from domestic fossil fuels other than petroleum and that is used to replace or reduce the quantity of petroleum present in a transportation fuel."
hr939-112|To amend the Outer Continental Shelf Lands Act and the Gulf of Mexico Energy Security Act of 2006 to increase the percentage of revenues from new offshore leases that will be shared with coastal States to 50 percent.|Public lands and natural resources|Offshore Lease Fairness Act - Amends the Outer Continental Shelf Lands Act to increase from 27% to 50% the revenues: (1) shared with states from leases within three miles of the coast line entered into after enactment of this Act; and (2) from energy-related activities for any lease, easement, or right-of-way granted after enactment of this Act. Amends the Gulf of Mexico Energy Security Act of 2006 to redefine current qualified Outer Continental Shelf revenues as sums received by the United States from leases entered into between December 20, 2006, and the date of enactment of this Act. Requires for FY2011 and each ensuing fiscal year that new outer Continental Shelf revenues be deposited: (1) 50% into the general fund of the Treasury; and (2) 50% into a special account in the Treasury for disbursement to coastal states by the Secretary of the Treasury. Restricts allocation of new outer Continental Shelf revenues from leases in the Gulf of Mexico, the Atlantic Ocean, the Pacific Ocean, and the Arctic Ocean to states that are in, or border on, such specified geographical areas. Prescribes requirements for the timing and administration of the disposition of revenues.
hr1024-112|To prohibit entities from using Federal funds to contribute to political campaigns or participate in lobbying activities.|Government operations and politics|No Taxpayer Money for Corporate Campaigns Act of 2011 - Prohibits: (1) the use of federal funds received by any entity, other than a natural person, to advocate the election or defeat of a political candidate or to engage in any lobbying activity; (2) use such funds for voter registration or get-out-the-vote activities; or (3) donate such funds to any entity that advocates for the election or defeat of a political candidate or engages in lobbying activities. Exempts from this ban the use of funds by an entity for an activity specifically authorized by federal law, rule, or regulation.
