bioguide_id,thomas_id,party
B000944,136,Democrat
C000127,172,Democrat
C000141,174,Democrat
C000174,179,Democrat
C001070,1828,Democrat
F000062,1332,Democrat
K000367,1826,Democrat
M000639,791,Democrat
S000033,1010,Independent
S000770,1531,Democrat
T000464,1829,Democrat
W000802,1823,Democrat
B001261,1881,Republican
W000437,1226,Republican
A000360,1695,Republican
C001035,1541,Republican
C001056,1692,Republican
D000563,326,Democrat
E000285,1542,Republican
G000359,452,Republican
I000024,583,Republican
M000355,1395,Republican
M001176,1900,Democrat
R000122,949,Democrat
R000584,1896,Republican
R000307,968,Republican
S001181,1901,Democrat
U000039,1567,Democrat
W000805,1897,Democrat
G000555,1866,Democrat
C001088,1984,Democrat
M001183,1983,Democrat
A000055,1460,Republican
A000367,2029,Independent
B001230,1558,Democrat
B001270,1996,Democrat
B001267,1965,Democrat
B001257,1838,Republican
B001250,1753,Republican
B000490,91,Democrat
B001243,1748,Republican
B000574,99,Democrat
B001277,2076,Democrat
B000575,1464,Republican
B001236,1687,Republican
B000755,1468,Republican
B001274,1987,Republican
B001260,1840,Republican
B001275,2018,Republican
B001248,1751,Republican
B001135,153,Republican
B001251,1761,Democrat
C000059,165,Republican
C001047,1676,Republican
C001072,1889,Democrat
C001051,1752,Republican
C001075,1925,Republican
C001066,1839,Democrat
C000266,186,Republican
C001080,1970,Democrat
C001084,2055,Democrat
C001067,1864,Democrat
C001049,1654,Democrat
C001061,1790,Democrat
C000537,208,Democrat
C001068,1878,Democrat
C001053,1742,Republican
C001062,1805,Republican
C001078,1959,Democrat
C000754,231,Democrat
C001059,1774,Democrat
C001069,1836,Democrat
C000880,250,Republican
C001087,1989,Republican
C001063,1807,Democrat
D000096,1477,Democrat
D000598,1641,Democrat
D000191,279,Democrat
D000197,1479,Democrat
D000216,281,Democrat
D000616,2062,Republican
D000610,1976,Democrat
D000600,1717,Republican
D000399,303,Democrat
D000482,316,Democrat
D000615,2057,Republican
E000179,344,Democrat
E000215,355,Democrat
F000459,2061,Republican
F000461,2065,Republican
F000449,1793,Republican
F000450,1791,Republican
F000455,1895,Democrat
G000559,1973,Democrat
G000562,1998,Republican
G000563,2049,Republican
G000552,1801,Republican
G000565,1992,Republican
G000377,1487,Republican
G000386,457,Republican
G000546,1656,Republican
G000560,1979,Republican
G000553,1803,Democrat
G000568,2070,Republican
G000551,1708,Democrat
G000558,1922,Republican
H001052,2026,Republican
H001053,2032,Republican
H000324,511,Democrat
H001046,1937,Democrat
H001056,2071,Republican
H001038,1794,Democrat
H001047,1913,Democrat
H001042,1844,Democrat
H001061,2079,Republican
H000874,566,Democrat
H001058,2028,Republican
H001048,1909,Republican
I000055,1608,Republican
J000032,588,Democrat
J000292,2046,Republican
J000126,599,Democrat
J000288,1843,Democrat
J000293,2086,Republican
J000289,1868,Republican
K000009,616,Democrat
K000375,2025,Democrat
K000376,2051,Republican
K000188,1498,Democrat
K000210,635,Republican
K000362,1724,Republican
K000378,2014,Republican
L000564,1834,Republican
L000559,1668,Democrat
L000575,2050,Republican
L000560,1675,Democrat
L000557,1583,Democrat
L000566,1885,Republican
L000174,1383,Democrat
L000551,1501,Democrat
L000577,2080,Republican
L000287,688,Democrat
L000563,1781,Democrat
L000565,1846,Democrat
L000397,701,Democrat
L000576,2033,Republican
L000480,709,Democrat
L000491,711,Republican
L000569,1931,Republican
L000570,1939,Democrat
L000562,1686,Democrat
M000087,729,Democrat
M001158,1806,Republican
M000133,735,Democrat
M001163,1814,Democrat
M001165,1833,Republican
M001157,1804,Republican
M001177,1908,Republican
M001143,1653,Democrat
M000312,1504,Democrat
M001156,1792,Republican
M001180,2074,Republican
M001159,1809,Republican
M001166,1832,Democrat
M001137,1506,Democrat
M001160,1811,Democrat
M000934,1507,Republican
M001153,1694,Republican
M001169,1837,Democrat
M001111,1409,Democrat
N000002,850,Democrat
N000179,1602,Democrat
N000015,854,Democrat
N000147,868,Democrat
N000181,1710,Republican
O000168,1955,Republican
P000601,2035,Republican
P000034,887,Democrat
P000096,1510,Democrat
P000603,2082,Republican
P000197,905,Democrat
P000593,1835,Democrat
P000595,1929,Democrat
P000258,910,Democrat
P000597,1927,Democrat
P000449,924,Republican
P000599,1915,Republican
P000523,930,Democrat
Q000023,1967,Democrat
R000585,1982,Republican
R000588,2023,Democrat
R000591,1986,Republican
R000582,1954,Republican
R000395,977,Republican
R000575,1704,Republican
R000486,997,Democrat
R000595,2084,Republican
R000576,1728,Democrat
R000515,1003,Democrat
R000577,1756,Democrat
S001177,1962,Democrat
S001168,1854,Democrat
S001176,1892,Republican
S001145,1588,Democrat
S001150,1635,Democrat
S001180,1950,Democrat
S000148,1036,Democrat
S001183,1994,Republican
S001189,2009,Republican
S001157,1722,Democrat
S000185,1037,Democrat
S001184,2056,Republican
S000244,1041,Republican
S000248,1042,Democrat
S001185,1988,Democrat
S000320,1049,Republican
S000344,1526,Democrat
S000364,1527,Republican
S001148,1590,Republican
S001165,1818,Democrat
S000510,1528,Democrat
S001172,1860,Republican
S000522,1071,Republican
S001175,1890,Democrat
S001187,2047,Republican
S001156,1757,Democrat
T000193,1151,Democrat
T000460,1593,Democrat
T000467,1952,Republican
T000238,1155,Republican
T000250,1534,Republican
T000470,1997,Republican
T000469,1942,Democrat
T000461,2085,Republican
T000463,1741,Republican
U000031,1177,Republican
V000128,1729,Democrat
V000081,1184,Democrat
V000108,1188,Democrat
W000798,1855,Republican
W000791,1596,Republican
W000797,1777,Democrat
W000187,1205,Democrat
W000806,2002,Republican
W000800,1879,Democrat
W000795,1688,Republican
W000808,2004,Democrat
W000804,1886,Republican
W000809,1991,Republican
W000810,2008,Republican
W000779,1247,Democrat
Y000062,1853,Democrat
Y000033,1256,Republican
